Date,Short Volume,Total Volume
2013-08-28,397213.0,523566.0
2013-08-29,220128.0,301451.0
2013-08-30,281015.0,383130.0
2013-09-03,330748.0,502534.0
2013-09-04,274870.0,451475.0
2013-09-05,164791.0,255669.0
2013-09-06,254915.0,399875.0
2013-09-09,463267.0,686696.0
2013-09-10,243195.0,368102.0
2013-09-11,157014.0,234294.0
2013-09-12,157839.0,267573.0
2013-09-13,153574.0,242613.0
2013-09-16,213744.0,358052.0
2013-09-17,116954.0,206236.0
2013-09-18,178834.0,277509.0
2013-09-19,368787.0,677887.0
2013-09-20,330995.0,572173.0
2013-09-23,189555.0,343139.0
2013-09-24,163840.0,274537.0
2013-09-25,224356.0,369831.0
2013-09-26,186143.0,298409.0
